,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
252,2020-01-16 12:30:00,67625.70588228901,77109.33620924267,167741.85034598972,67625.70588228901,67625.70588228901,56195.83521445064,56195.83521445064,56195.83521445064,31723.912930218627,31723.912930218627,31723.912930218627,24471.922284232012,24471.922284232012,24471.922284232012,0.0,0.0,0.0,123821.54109673965
253,2020-01-16 13:30:00,67597.96321565434,116475.9700843944,206774.13236941918,67597.96321565434,67597.96321565434,93984.25053618412,93984.25053618412,93984.25053618412,68369.4515121265,68369.4515121265,68369.4515121265,25614.799024057596,25614.799024057596,25614.799024057596,0.0,0.0,0.0,161582.21375183846
254,2020-01-16 14:30:00,67570.22054901965,139200.99232884406,224248.50291842152,67570.22054901965,67570.22054901965,113495.72955930779,113495.72955930779,113495.72955930779,86704.17108013318,86704.17108013318,86704.17108013318,26791.558479174604,26791.558479174604,26791.558479174604,0.0,0.0,0.0,181065.95010832744
255,2020-01-16 15:30:00,67542.47788238498,130950.15198870335,221632.1007561632,67542.47788238498,67542.47788238498,111335.20815193244,111335.20815193244,111335.20815193244,83340.84455053513,83340.84455053513,83340.84455053513,27994.363601397312,27994.363601397312,27994.363601397312,0.0,0.0,0.0,178877.68603431742
256,2020-01-16 16:30:00,67514.7352157503,121460.2326873216,211812.0955737803,67514.7352157503,67514.7352157503,98954.01440779715,98954.01440779715,98954.01440779715,69739.60913571515,69739.60913571515,69739.60913571515,29214.405272081996,29214.405272081996,29214.405272081996,0.0,0.0,0.0,166468.74962354745
257,2020-01-16 17:30:00,67486.99254911562,120309.76712046031,204972.82077636008,67486.99254911562,67486.99254911562,91918.44677116054,91918.44677116054,91918.44677116054,61476.50904927637,61476.50904927637,61476.50904927637,30441.937721884187,30441.937721884187,30441.937721884187,0.0,0.0,0.0,159405.43932027614
258,2020-01-16 18:30:00,67459.24988248094,115822.16198379974,205695.3085365474,67459.24988248094,67459.24988248094,95552.29743406088,95552.29743406088,95552.29743406088,63885.96955918133,63885.96955918133,63885.96955918133,31666.327874879513,31666.327874879513,31666.327874879513,0.0,0.0,0.0,163011.54731654184
259,2020-01-16 19:30:00,67431.50721584627,124377.37929092303,210828.6528539264,67431.50721584627,67431.50721584627,100366.2791852598,100366.2791852598,100366.2791852598,67490.16072119417,67490.16072119417,67490.16072119417,32876.11846406563,32876.11846406563,32876.11846406563,0.0,0.0,0.0,167797.78640110607
260,2020-01-16 20:30:00,67403.76454921158,112796.78384560438,202004.25054363516,67403.76454921158,67403.76454921158,91571.4962465644,91571.4962465644,91571.4962465644,57512.391668682634,57512.391668682634,57512.391668682634,34059.10457788177,34059.10457788177,34059.10457788177,0.0,0.0,0.0,158975.26079577598
261,2020-01-16 21:30:00,67376.02188257691,86295.2767368068,171852.18636259044,67376.02188257691,67376.02188257691,63680.27626824474,63680.27626824474,63680.27626824474,28477.85314728286,28477.85314728286,28477.85314728286,35202.423120961874,35202.423120961874,35202.423120961874,0.0,0.0,0.0,131056.29815082165
262,2020-01-16 22:30:00,67348.27921594224,51566.81797842942,136529.73651935245,67348.27921594224,67348.27921594224,26492.14745134571,26492.14745134571,26492.14745134571,-9800.507033179365,-9800.507033179365,-9800.507033179365,36292.654484525076,36292.654484525076,36292.654484525076,0.0,0.0,0.0,93840.42666728795
263,2020-01-16 23:30:00,67320.53654930755,17206.26852015221,106666.82124527005,67320.53654930755,67320.53654930755,-2911.5489341518924,-2911.5489341518924,-2911.5489341518924,-40227.48448805865,-40227.48448805865,-40227.48448805865,37315.93555390676,37315.93555390676,37315.93555390676,0.0,0.0,0.0,64408.98761515566
264,2020-01-17 00:30:00,67292.79388267288,7757.269640356764,96617.86918525372,67292.79388267288,67292.79388267288,-14345.13163282393,-14345.13163282393,-14345.13163282393,-52603.21464622751,-52603.21464622751,-52603.21464622751,38258.083013403586,38258.083013403586,38258.083013403586,0.0,0.0,0.0,52947.662249848945
265,2020-01-17 01:30:00,67265.0512160382,11946.69062907388,98781.59962997113,67265.0512160382,67265.0512160382,-11683.927655596779,-11683.927655596779,-11683.927655596779,-50788.65341260571,-50788.65341260571,-50788.65341260571,39104.725757008935,39104.725757008935,39104.725757008935,0.0,0.0,0.0,55581.123560441425
266,2020-01-17 02:30:00,67237.30854940352,13238.090431752646,108275.83388329472,67237.30854940352,67237.30854940352,-7137.890561298863,-7137.890561298863,-7137.890561298863,-46979.335631290676,-46979.335631290676,-46979.335631290676,39841.44506999181,39841.44506999181,39841.44506999181,0.0,0.0,0.0,60099.41798810466
267,2020-01-17 03:30:00,67209.56588276885,10674.396987637101,106569.87896577228,67209.56588276885,67209.56588276885,-9189.129058284294,-9189.129058284294,-9189.129058284294,-49643.05018088933,-49643.05018088933,-49643.05018088933,40453.921122605025,40453.921122605025,40453.921122605025,0.0,0.0,0.0,58020.436824484554
268,2020-01-17 04:30:00,67181.82321613417,11424.922140036088,95537.65895735436,67181.82321613417,67181.82321613417,-16091.607462939364,-16091.607462939364,-16091.607462939364,-57019.69166992494,-57019.69166992494,-57019.69166992494,40928.08420698558,40928.08420698558,40928.08420698558,0.0,0.0,0.0,51090.21575319481
269,2020-01-17 05:30:00,67154.08054501437,4027.452628539211,91572.90863777685,67154.08054501437,67154.08054501437,-20287.189232815228,-20287.189232815228,-20287.189232815228,-61537.45828730846,-61537.45828730846,-61537.45828730846,41250.269054493234,41250.269054493234,41250.269054493234,0.0,0.0,0.0,46866.891312199135
270,2020-01-17 06:30:00,67126.33787389455,8841.69843234798,90988.17670842411,67126.33787389455,67126.33787389455,-17777.242849155,-17777.242849155,-17777.242849155,-59184.61335296089,-59184.61335296089,-59184.61335296089,41407.370503805876,41407.370503805876,41407.370503805876,0.0,0.0,0.0,49349.095024739545
271,2020-01-17 07:30:00,67098.59520277474,11858.838645537682,102305.8917162867,67098.59520277474,67098.59520277474,-11977.685899261614,-11977.685899261614,-11977.685899261614,-53364.68463201578,-53364.68463201578,-53364.68463201578,41386.99873275416,41386.99873275416,41386.99873275416,0.0,0.0,0.0,55120.90930351312
272,2020-01-17 08:30:00,67070.85253165492,18110.289658099042,103463.24508335267,67070.85253165492,67070.85253165492,-8175.3751791648265,-8175.3751791648265,-8175.3751791648265,-49353.007420852264,-49353.007420852264,-49353.007420852264,41177.63224168743,41177.63224168743,41177.63224168743,0.0,0.0,0.0,58895.477352490096
273,2020-01-17 09:30:00,67043.10986053511,11818.572354775391,108223.02398838452,67043.10986053511,67043.10986053511,-5228.93524484157,-5228.93524484157,-5228.93524484157,-45997.70200882186,-45997.70200882186,-45997.70200882186,40768.76676398029,40768.76676398029,40768.76676398029,0.0,0.0,0.0,61814.17461569354
274,2020-01-17 10:30:00,67015.3671894153,28763.98246378699,116033.93030152147,67015.3671894153,67015.3671894153,5525.373675709427,5525.373675709427,5525.373675709427,-34625.684620360895,-34625.684620360895,-34625.684620360895,40151.058296070325,40151.058296070325,40151.058296070325,0.0,0.0,0.0,72540.74086512472
275,2020-01-17 11:30:00,66987.62451829549,50536.799532654666,143359.26824478386,66987.62451829549,66987.62451829549,31720.67250535063,31720.67250535063,31720.67250535063,-7595.785969119683,-7595.785969119683,-7595.785969119683,39316.45847447032,39316.45847447032,39316.45847447032,0.0,0.0,0.0,98708.29702364613
276,2020-01-17 12:30:00,66959.88184717568,92838.81953981685,179920.15017236787,66959.88184717568,66959.88184717568,69982.25351662307,69982.25351662307,69982.25351662307,31723.912930978247,31723.912930978247,31723.912930978247,38258.3405856448,38258.3405856448,38258.3405856448,0.0,0.0,0.0,136942.13536379876
277,2020-01-17 13:30:00,66932.13917605586,129988.3489477612,215839.030266932,66932.13917605586,66932.13917605586,105341.06608633787,105341.06608633787,105341.06608633787,68369.4515125596,68369.4515125596,68369.4515125596,36971.61457377828,36971.61457377828,36971.61457377828,0.0,0.0,0.0,172273.20526239375
278,2020-01-17 14:30:00,66904.39650493606,143922.23089720096,233908.84286648658,66904.39650493606,66904.39650493606,122157.00059464671,122157.00059464671,122157.00059464671,86704.17108008607,86704.17108008607,86704.17108008607,35452.82951456064,35452.82951456064,35452.82951456064,0.0,0.0,0.0,189061.39709958277
279,2020-01-17 15:30:00,66876.65383381624,138848.64629965823,229245.5343996661,66876.65383381624,66876.65383381624,117041.1066891632,117041.1066891632,117041.1066891632,83340.84455017898,83340.84455017898,83340.84455017898,33700.26213898418,33700.26213898418,33700.26213898418,0.0,0.0,0.0,183917.76052297943
280,2020-01-17 16:30:00,66848.91116269641,123384.07036719269,211194.97964817772,66848.91116269641,66848.91116269641,101453.59926836881,101453.59926836881,101453.59926836881,69739.6091357584,69739.6091357584,69739.6091357584,31713.99013261043,31713.99013261043,31713.99013261043,0.0,0.0,0.0,168302.51043106522
281,2020-01-17 17:30:00,66821.16849157661,113581.63362916473,203385.4447367065,66821.16849157661,66821.16849157661,90972.4581420456,90972.4581420456,90972.4581420456,61476.50904908649,61476.50904908649,61476.50904908649,29495.949092959116,29495.949092959116,29495.949092959116,0.0,0.0,0.0,157793.62663362222
282,2020-01-17 18:30:00,66793.42582045679,111377.1954376209,202395.5011336667,66793.42582045679,66793.42582045679,90935.94175001877,90935.94175001877,90935.94175001877,63885.96955880338,63885.96955880338,63885.96955880338,27049.97219121541,27049.97219121541,27049.97219121541,0.0,0.0,0.0,157729.36757047556
283,2020-01-17 19:30:00,66765.68314933698,116004.38139507655,205488.5662279609,66765.68314933698,66765.68314933698,91871.97249542696,91871.97249542696,91871.97249542696,67490.1607206628,67490.1607206628,67490.1607206628,24381.811774764148,24381.811774764148,24381.811774764148,0.0,0.0,0.0,158637.65564476396
284,2020-01-17 20:30:00,66737.94047821718,103265.87950697322,186682.77615764778,66737.94047821718,66737.94047821718,79011.53400919137,79011.53400919137,79011.53400919137,57512.39166844162,57512.39166844162,57512.39166844162,21499.142340749753,21499.142340749753,21499.142340749753,0.0,0.0,0.0,145749.47448740853
