ds,y
2020-01-22 04:30:00,16707.00
2020-01-22 05:30:00,10757.00
2020-01-22 06:30:00,10654.00
2020-01-22 07:30:00,15126.00
2020-01-22 08:30:00,12295.00
2020-01-22 09:30:00,25134.00
2020-01-22 10:30:00,54153.00
2020-01-22 11:30:00,88522.00
2020-01-22 12:30:00,90606.00
2020-01-22 13:30:00,166167.00
2020-01-22 14:30:00,186625.00
2020-01-22 15:30:00,190831.00
2020-01-22 16:30:00,123084.00
2020-01-22 17:30:00,123831.00
2020-01-22 18:30:00,170830.00
2020-01-22 19:30:00,181613.00
2020-01-22 20:30:00,157781.00
2020-01-22 21:30:00,140794.00
2020-01-22 22:30:00,71282.00
2020-01-22 23:30:00,39393.00
2020-01-23 00:30:00,34597.00
2020-01-23 01:30:00,23235.00
2020-01-23 02:30:00,20086.00
2020-01-23 03:30:00,22818.00
2020-01-23 04:30:00,11404.00
2020-01-23 05:30:00,9084.00
2020-01-23 06:30:00,11139.00
2020-01-23 07:30:00,13145.00
2020-01-23 08:30:00,18368.00
2020-01-23 09:30:00,21223.00
2020-01-23 10:30:00,58587.00
2020-01-23 11:30:00,84592.00
2020-01-23 12:30:00,100615.00
2020-01-23 13:30:00,180970.00
2020-01-23 14:30:00,213264.00
2020-01-23 15:30:00,231142.00
2020-01-23 16:30:00,147651.00
2020-01-23 17:30:00,142630.00
2020-01-23 18:30:00,184583.00
2020-01-23 19:30:00,201912.00
2020-01-23 20:30:00,174366.00
2020-01-23 21:30:00,144222.00
2020-01-23 22:30:00,66615.00
2020-01-23 23:30:00,40693.00
2020-01-24 00:30:00,20982.00
2020-01-24 01:30:00,16199.00
2020-01-24 02:30:00,15234.00
2020-01-24 03:30:00,11847.00
2020-01-24 04:30:00,9674.00
2020-01-24 05:30:00,8059.00
2020-01-24 06:30:00,8158.00
2020-01-24 07:30:00,9526.00
2020-01-24 08:30:00,14062.00
2020-01-24 09:30:00,24520.00
2020-01-24 10:30:00,58696.00
2020-01-24 11:30:00,92552.00
2020-01-24 12:30:00,121405.00
2020-01-24 13:30:00,173371.00
2020-01-24 14:30:00,215047.00
2020-01-24 15:30:00,229306.00
2020-01-24 16:30:00,156717.00
2020-01-24 17:30:00,162636.00
2020-01-24 18:30:00,243468.00
2020-01-24 19:30:00,141941.00
2020-01-24 20:30:00,141522.00
2020-01-24 21:30:00,90701.00
2020-01-24 22:30:00,52934.00
2020-01-24 23:30:00,26568.00
2020-01-25 00:30:00,14512.00
2020-01-25 01:30:00,8597.00
2020-01-25 02:30:00,7716.00
2020-01-25 03:30:00,7979.00
2020-01-25 04:30:00,7662.00
2020-01-25 05:30:00,6183.00
2020-01-25 06:30:00,6022.00
2020-01-25 07:30:00,6397.00
2020-01-25 08:30:00,6178.00
2020-01-25 09:30:00,8618.00
2020-01-25 10:30:00,8975.00
2020-01-25 11:30:00,9522.00
2020-01-25 12:30:00,7112.00
2020-01-25 13:30:00,7231.00
2020-01-25 14:30:00,7784.00
2020-01-25 15:30:00,10129.00
2020-01-25 16:30:00,7944.00
2020-01-25 17:30:00,8344.00
2020-01-25 18:30:00,12438.00
2020-01-25 19:30:00,14723.00
2020-01-25 20:30:00,13009.00
2020-01-25 21:30:00,16768.00
2020-01-25 22:30:00,11443.00
2020-01-25 23:30:00,14105.00
2020-01-26 00:30:00,12706.00
2020-01-26 01:30:00,8378.00
2020-01-26 02:30:00,8950.00
2020-01-26 03:30:00,8017.00
2020-01-26 04:30:00,7227.00
2020-01-26 05:30:00,6065.00
2020-01-26 06:30:00,6062.00
2020-01-26 07:30:00,6223.00
2020-01-26 08:30:00,6066.00
2020-01-26 09:30:00,6059.00
2020-01-26 10:30:00,6143.00
2020-01-26 11:30:00,6126.00
2020-01-26 12:30:00,7275.00
2020-01-26 13:30:00,6566.00
2020-01-26 14:30:00,7366.00
2020-01-26 15:30:00,7379.00
2020-01-26 16:30:00,9885.00
2020-01-26 17:30:00,11837.00
2020-01-26 18:30:00,10747.00
2020-01-26 19:30:00,7216.00
2020-01-26 20:30:00,11648.00
2020-01-26 21:30:00,16771.00
2020-01-26 22:30:00,14315.00
2020-01-26 23:30:00,10995.00
2020-01-27 00:30:00,10291.00
2020-01-27 01:30:00,9479.00
2020-01-27 02:30:00,13509.00
2020-01-27 03:30:00,12728.00
2020-01-27 04:30:00,7677.00
2020-01-27 05:30:00,6632.00
2020-01-27 06:30:00,6258.00
2020-01-27 07:30:00,6162.00
2020-01-27 08:30:00,9830.00
2020-01-27 09:30:00,22015.00
2020-01-27 10:30:00,55762.00
2020-01-27 11:30:00,82777.00
2020-01-27 12:30:00,118695.00
2020-01-27 13:30:00,178657.00
2020-01-27 14:30:00,212973.00
2020-01-27 15:30:00,244508.00
2020-01-27 16:30:00,145070.00
2020-01-27 17:30:00,142654.00
2020-01-27 18:30:00,191411.00
2020-01-27 19:30:00,192883.00
2020-01-27 20:30:00,151392.00
2020-01-27 21:30:00,125940.00
2020-01-27 22:30:00,74738.00
2020-01-27 23:30:00,32207.00
2020-01-28 00:30:00,17274.00
2020-01-28 01:30:00,16501.00
2020-01-28 02:30:00,17838.00
2020-01-28 03:30:00,16265.00
2020-01-28 04:30:00,8830.00
2020-01-28 05:30:00,7354.00
2020-01-28 06:30:00,8502.00
2020-01-28 07:30:00,10183.00
2020-01-28 08:30:00,17840.00
2020-01-28 09:30:00,22497.00
2020-01-28 10:30:00,43989.00
2020-01-28 11:30:00,86479.00
2020-01-28 12:30:00,112138.00
2020-01-28 13:30:00,152793.00
2020-01-28 14:30:00,194494.00
2020-01-28 15:30:00,207512.00
2020-01-28 16:30:00,132944.00
2020-01-28 17:30:00,112994.00
2020-01-28 18:30:00,149649.00
2020-01-28 19:30:00,143980.00
2020-01-28 20:30:00,152185.00
2020-01-28 21:30:00,123951.00
2020-01-28 22:30:00,50499.00
2020-01-28 23:30:00,21070.00
2020-01-29 00:30:00,16569.00
2020-01-29 01:30:00,16802.00
2020-01-29 02:30:00,11155.00
2020-01-29 03:30:00,10010.00
2020-01-29 04:30:00,5238.00
2020-01-29 05:30:00,3266.00
2020-01-29 06:30:00,3253.00
2020-01-29 07:30:00,3645.00
2020-01-29 08:30:00,6533.00
2020-01-29 09:30:00,13424.00
2020-01-29 10:30:00,43637.00
2020-01-29 11:30:00,77862.00
2020-01-29 12:30:00,89458.00
2020-01-29 13:30:00,132651.00
2020-01-29 14:30:00,187522.00
2020-01-29 15:30:00,203066.00
2020-01-29 16:30:00,128241.00
2020-01-29 17:30:00,140253.00
2020-01-29 18:30:00,170423.00
2020-01-29 19:30:00,161230.00
2020-01-29 20:30:00,140747.00
2020-01-29 21:30:00,118821.00
2020-01-29 22:30:00,49954.00
2020-01-29 23:30:00,48217.00
2020-01-30 00:30:00,16322.00
2020-01-30 01:30:00,9193.00
2020-01-30 02:30:00,7939.00
2020-01-30 03:30:00,7243.00
2020-01-30 04:30:00,7883.00
2020-01-30 05:30:00,7600.00
2020-01-30 06:30:00,4101.00
2020-01-30 07:30:00,5123.00
2020-01-30 08:30:00,6828.00
2020-01-30 09:30:00,14460.00
2020-01-30 10:30:00,39037.00
2020-01-30 11:30:00,70330.00
2020-01-30 12:30:00,89227.00
2020-01-30 13:30:00,164599.00
2020-01-30 14:30:00,227135.00
2020-01-30 15:30:00,196221.00
2020-01-30 16:30:00,132243.00
2020-01-30 17:30:00,129828.00
2020-01-30 18:30:00,188109.00
2020-01-30 19:30:00,160825.00
2020-01-30 20:30:00,146992.00
2020-01-30 21:30:00,141062.00
2020-01-30 22:30:00,51518.00
2020-01-30 23:30:00,21746.00
